name,id,actual_name
sv-darmstadt-98,105,SV Darmstadt 98
rasenballsport-leipzig,23826,RB Leipzig
1-fc-union-berlin,89,1.FC Union Berlin
arminia-bielefeld,10,Arminia Bielefeld
vfl-bochum,80,VfL Bochum
1-fc-heidenheim-1846,2036,1.FC Heidenheim 1846
paris-saint-germain,583,Paris Saint-Germain
olympique-lyon,1041,Olympique Lyon
olympique-marseille,244,Olympique Marseille
losc-lille,1082,LOSC Lille
fc-girondins-bordeaux,40,FC Girondins Bordeaux
fc-stade-rennes,273,Stade Rennais FC
fc-toulouse,415,FC Toulouse
as-monaco,162,AS Monaco
as-saint-etienne,618,AS Saint-Étienne
aj-auxerre,290,AJ Auxerre
ogc-nizza,417,OGC Nice
fc-lorient,1158,FC Lorient
fc-sochaux-montbeliard,750,FC Sochaux-Montbéliard
fc-valenciennes,1423,Valenciennes FC
as-nancy-lorraine,1159,AS Nancy-Lorraine
montpellier-hsc,969,Montpellier HSC
rc-lens,826,RC Lens
sm-caen,1162,SM Caen
stade-brest-29,3911,Stade Brestois 29
athletic-club-arlesien,11300,AC Arles-Avignon
dijon-fco,2969,Dijon FCO
thonon-evian-grand-geneve-fc,14171,FC Évian Thonon Gaillard
ac-ajaccio,1147,AC Ajaccio
sc-bastia,595,SC Bastia
stade-reims,1421,Stade Reims
es-troyes-ac,1095,ESTAC Troyes
fc-nantes,995,FC Nantes
ea-guingamp,855,EA Guingamp
fc-metz,347,FC Metz
sco-angers,1420,Angers SCO
gfc-ajaccio,3558,GFC Ajaccio
amiens-sc,1416,Amiens SC
rc-strassburg-alsace,667,RC Strasbourg Alsace
nimes-olympique,1160,Nîmes Olympique
clermont-foot-63,3524,Clermont Foot 63
ac-le-havre,738,Le Havre AC
psv-eindhoven,383,PSV Eindhoven
ajax-amsterdam,610,Ajax Amsterdam
fc-twente-enschede,317,Twente Enschede FC
az-alkmaar,1090,AZ Alkmaar
feyenoord-rotterdam,234,Feyenoord Rotterdam
fc-utrecht,200,FC Utrecht
sc-heerenveen,306,SC Heerenveen
fc-groningen,202,FC Groningen
vitesse-arnheim,499,Vitesse Arnhem
roda-jc-kerkrade,192,Roda JC Kerkrade
nec-nijmegen,467,NEC Nijmegen
nac-breda,132,NAC Breda
ado-den-haag,1268,ADO Den Haag
heracles-almelo,1304,Heracles Almelo
vvv-venlo,1426,VVV-Venlo
de-graafschap-doetinchem,642,De Graafschap Doetinchem
willem-ii-tilburg,403,Willem II Tilburg
sbv-excelsior-rotterdam,798,Excelsior Rotterdam
rkc-waalwijk,235,RKC Waalwijk
pec-zwolle,1269,PEC Zwolle
sc-cambuur-leeuwarden,133,SC Cambuur Leeuwarden
go-ahead-eagles-deventer,1435,Go Ahead Eagles
fc-dordrecht,1455,FC Dordrecht
sparta-rotterdam,468,Sparta Rotterdam
fortuna-sittard,385,Fortuna Sittard
fc-emmen,1283,FC Emmen
fc-volendam,724,FC Volendam
almere-city-fc,723,Almere City FC
sporting-cp,336,Sporting CP
sl-benfica,294,SL Benfica
fc-porto,720,FC Porto
sc-braga,1075,SC Braga
vitoria-guimaraes-sc,2420,Vitória Guimarães SC
cs-maritimo,1301,CS Marítimo
cd-nacional,982,CD Nacional
fc-pacos-de-ferreira,2995,FC Paços de Ferreira
academica-coimbra,2990,Académica Coimbra
rio-ave-fc,2425,Rio Ave FC
sc-olhanense,4750,SC Olhanense
vitoria-setubal-fc,1085,Vitória Setúbal FC
uniao-leiria,2639,União de Leiria
associacao-naval-1893,4814,Naval 1º de Maio
sc-beira-mar,1436,SC Beira-Mar
portimonense-sc,7378,Portimonense SC
cd-feirense,3349,CD Feirense
gil-vicente-fc,2424,Gil Vicente FC
gd-estoril-praia,1465,GD Estoril Praia
moreirense-fc,979,Moreirense FC
cf-os-belenenses,68608,CF Os Belenenses
fc-arouca,8024,FC Arouca
fc-penafiel,3327,FC Penafiel
boavista-porto-fc,2503,Boavista FC
cd-tondela,7179,CD Tondela
gd-chaves,3325,GD Chaves
cd-santa-clara,2423,CD Santa Clara
belenenses-sad,2457,B SAD
fc-famalicao,3329,FC Famalicão
sc-farense,4294,SC Farense
fc-vizela,6912,FC Vizela
casa-pia-ac,3268,Casa Pia AC
cf-estrela-amadora-sad,2431,CF Estrela Amadora SAD
